movie_id,realisateurs,scenaristes,acteurs
223209,['137482'],['551718'],"['188328', '19056', '540538', '107903', '1730', '596903', '94485', '24887']"
232761,['29703'],"['810197', '810455', '810197', '810198', '810198']","['463628', '516884', '810199', '810456', '131892', '207264', '810453', '810454']"
123103,['20296'],"['20296', '20296', '136727', '136727']","['328', '3013', '57797', '25104', '25429', '101220', '1798', '29028']"
59404,['89602'],['89602'],"['46876', '102417', '102419', '48717', '5480', '2766', '79229', '107425']"
3962,['3769'],"['3769', '64451', '2361']","['1115', '1327', '3159', '1831', '64989', '40632', '64991', '90537']"
11094,['9436'],"['47665', '9436', '47666']","['12591', '7220', '1185', '977', '2153', '8338', '47675', '21384']"
179072,"['8264', '8265']","['8264', '8265']","['40179', '507205', '24248', '21316', '29189', '518365', '126847', '225385']"
196754,['4819'],['645933'],"['4819', '103165', '77914', '453800', '23780', '196951', '472250', '29255']"
208883,['86146'],"['86146', '3336', '4676']","['4676', '3336', '148333', '625611', '625612', '625608', '51342', '461879']"
247543,['62435'],['456067'],"['30607', '397098', '247939', '102324', '836995', '562325', '837169', '831057']"
613,['1852'],"['43524', '1852']","['1856', '21825', '1939', '1938', '5029', '1852', '87020', '91231']"
276096,['206877'],['35022'],"['154174', '22871', '245900', '930985', '27024', '184540', '643683', '101392']"
278411,['137591'],['843831'],"['105018', '126377', '276961', '439092', '126612', '823575', '857475', '457576']"
281239,['898731'],"['898731', '898732']","['57063', '262664', '607837', '38623', '579395', '20688', '261475', '811880']"
281646,['226576'],"['41095', '173904', '226576']","['505880', '835046', '812160', '837549', '869425', '32416', '600462', '807262']"
203344,['84341'],['29293'],"['1184', '5943', '323', '21692', '15343', '557488', '28164', '946']"
2941,['33301'],"['89973', '53708']","['730', '3341', '3603', '6408', '7460', '7461', '136079']"
37339,['117'],"['46358', '68554', '4391', '46358', '36522', '64374', '40133', '68554']","['577', '34296', '2424', '1422', '2997', '13205', '117', '68560']"
267592,['166567'],"['166567', '507435']","['660566', '171109', '688999', '444411', '190178', '476136', '99747', '600316']"
57125,['70562'],"['626', '46127']","['28586', '13918', '100219', '130829', '535', '2372', '21485', '3427']"
746,['23'],"['451254', '230914']","['24', '925', '457', '1204', '1210', '524600', '5734', '10006']"
109551,['69629'],"['84553', '84462']","['28561', '21084', '10495', '15228', '94468', '32390', '177918', '102259']"
131737,['18069'],"['202746', '202746', '18069', '22303']","['57126', '18069', '21356', '21333', '21130', '55701', '95399', '22901']"
185249,['8743'],"['127082', '127082', '8743', '8743']","['947', '14947', '328', '97635', '541485', '402752', '14457', '19336']"
380,['1146'],"['517370', '100652', '68867', '437067']","['1146', '1260', '1261', '1262', '3597', '9509', '23917', '71349']"
42400,['41548'],['41548'],"['1917', '21405', '1070', '3439', '89737', '5671', '15349', '104955']"
1675,['4569'],"['4569', '4569', '23373']","['4569', '4570', '818', '4571', '4572', '6133', '4573', '151295']"
225948,['223178'],['113240'],"['459405', '577177', '540538', '119920', '230401', '662024', '207508', '646346']"
263492,"['28467', '27273']","['235611', '235612']","['546982', '229103', '139827', '10044', '14588', '69', '142926', '538224']"
48629,['2459'],['75620'],"['68750', '1538', '7501', '2864', '1675', '1847', '770', '11167']"
311622,['228683'],,"['684200', '820102', '982515']"
140136,['40466'],"['68237', '136935']","['19356', '33202', '36121', '10299', '99864', '50654', '18837', '209045']"
52650,['7863'],"['74697', '7863']","['1909', '11848', '91361', '69310', '5406', '5671', '475', '3559']"
57670,['18484'],"['42645', '73531', '80249']","['17585', '14611', '619', '50953', '19386', '20967', '127140', '43438']"
12995,['2881'],"['18735', '18735', '73894', '73893']","['301', '1541', '16411', '572', '115446', '132112', '39104', '238384']"
